description,demographic,granular_audience,target_month,figures.impacts,figures.impacts_pedestrian,figures.impacts_vehicular,figures.gross_rating_points,figures.reach,figures.reach_pedestrian,figures.reach_vehicular,figures.average_frequency,figures.rag_status,metrics.total_frames,metrics.total_dynamic_frames,metrics.total_contacts,metrics.total_actual_contacts,metrics.total_respondents,metrics.total_actual_respondents,environment,campaign_name,warnings.code_104
total,Adults 15-34 (16),All Adults (1),3,1041.37687949,651.552313385,389.824566105,6.3575151807,688.8306771764,510.0212740835,198.568430753,1.5118038641,green,95,95,201313,96141,5814,2380,,{R51_AllEnviroDigital}_Schd1_W100,
grouping,Adults 15-34 (16),All Adults (1),3,525.3246905495,159.9831967481,365.3414938014,3.2070614978,412.4138025654,174.7439390441,250.3869012325,1.273780575,green,59,59,101441,37611,5665,2074,1,{R51_AllEnviroDigital}_Schd1_W100,
grouping,Adults 15-34 (16),All Adults (1),3,25.0555731855,9.0307880355,16.02478515,0.1529620928,14.8126853631,8.3522764886,6.7833856678,1.691494322,green,7,7,16150,7456,2500,44,18,{R51_AllEnviroDigital}_Schd1_W100,
grouping,Adults 15-34 (16),All Adults (1),3,25.1216802216,16.6633930679,8.4582871537,0.1533656705,8.3715229604,5.6357381162,2.9023892113,3.000849468,green,5,5,11746,7944,1611,23,20,{R51_AllEnviroDigital}_Schd1_W100,
grouping,Adults 15-34 (16),All Adults (1),3,291.7603203001,291.7603203001,0,1.781171353,98.4403150203,98.4403150203,0,2.9638296082,green,6,6,39112,31206,956,155,7,{R51_AllEnviroDigital}_Schd1_W100,
grouping,Adults 15-34 (16),All Adults (1),3,17.5548953387,17.5548953387,0,0.1071711076,17.2891740404,17.2891740404,0,1.0153692303,green,5,5,3304,2274,897,321,11,{R51_AllEnviroDigital}_Schd1_W100,
grouping,Adults 15-34 (16),All Adults (1),3,156.5597198946,156.5597198946,0,0.9557834589,149.9561667933,149.9561667933,0,1.0440365558,green,13,13,29560,9650,2048,622,12,{R51_AllEnviroDigital}_Schd1_W100,
total,Adults 15-34 (16),All Adults (1),3,15618.1996623111,11466.7397503705,4151.4599119406,95.3477491227,4772.2370237808,3978.667119427,1262.1016466724,3.2727208612,green,969,969,2302546,1183008,5912,4543,,{R51_AllEnviroDigital}_Schd1_W1000,
grouping,Adults 15-34 (16),All Adults (1),3,5761.5505214133,1804.5553348237,3956.9951865897,35.1737642975,3253.4981454634,1441.8330175068,2182.3200631335,1.7708786862,green,568,568,971689,338732,5912,4373,1,{R51_AllEnviroDigital}_Schd1_W1000,
grouping,Adults 15-34 (16),All Adults (1),3,120.8843986705,55.9099123254,64.9744863452,0.737988729,69.019498812,43.1318684695,32.1708396198,1.7514528612,green,39,39,75870,37088,5257,148,18,{R51_AllEnviroDigital}_Schd1_W1000,
grouping,Adults 15-34 (16),All Adults (1),3,111.5019056474,111.5019056474,0,0.6807094259,81.4779234179,81.4779234179,0,1.3684922365,green,4,4,38078,35634,1068,224,19,{R51_AllEnviroDigital}_Schd1_W1000,
grouping,Adults 15-34 (16),All Adults (1),3,388.6416148143,259.15137581,129.4902390044,2.3726232209,135.2140174185,94.3937929974,54.2603290374,2.8742701551,green,64,64,237156,154824,5687,207,20,{R51_AllEnviroDigital}_Schd1_W1000,
grouping,Adults 15-34 (16),All Adults (1),3,4315.0665841375,4315.0665841375,0,26.3431058001,783.0269377055,783.0269377055,0,5.510751133,green,101,101,553440,477090,4190,863,7,{R51_AllEnviroDigital}_Schd1_W1000,
grouping,Adults 15-34 (16),All Adults (1),3,2417.3649437164,2417.3649437164,0,14.7578025109,762.173832582,762.173832582,0,3.1716713962,green,67,67,137210,43897,4247,979,11,{R51_AllEnviroDigital}_Schd1_W1000,
grouping,Adults 15-34 (16),All Adults (1),3,2503.189693917,2503.189693917,0,15.2817551384,806.714771134,806.714771134,0,3.10294268,green,126,126,289103,95743,3456,782,12,{R51_AllEnviroDigital}_Schd1_W1000,
total,Adults 15-34 (16),All Adults (1),3,29167.7167942315,22155.4091602132,7012.3076340183,178.0663715094,6472.4666012027,5504.4341789608,1882.4021755158,4.5064298654,green,1916,1916,4322233,2129479,5912,4924,,{R51_AllEnviroDigital}_Schd1_W2000,
grouping,Adults 15-34 (16),All Adults (1),3,10719.5281068774,4089.9926725236,6629.5354343538,65.441785785,4899.4918219231,2570.8018529938,3149.6862486112,2.1878857025,green,1171,1171,2010747,713936,5912,4787,1,{R51_AllEnviroDigital}_Schd1_W2000,
grouping,Adults 15-34 (16),All Adults (1),3,228.7394937458,101.9974540123,126.7420397335,1.3964346939,132.8958663548,79.4699772268,66.0995124756,1.7211934428,green,77,77,143526,80124,5704,234,18,{R51_AllEnviroDigital}_Schd1_W2000,
grouping,Adults 15-34 (16),All Adults (1),3,307.2874294161,307.2874294161,0,1.8759630023,192.4634646883,192.4634646883,0,1.5966013597,green,10,10,95066,89293,1963,265,19,{R51_AllEnviroDigital}_Schd1_W2000,
grouping,Adults 15-34 (16),All Adults (1),3,619.0088624617,362.9787025288,256.0301599328,3.7789952106,213.1147676146,134.5880361953,97.7475801315,2.9045798627,green,117,117,315444,181774,5895,368,20,{R51_AllEnviroDigital}_Schd1_W2000,
grouping,Adults 15-34 (16),All Adults (1),3,6958.915127453,6958.915127453,0,42.4835709675,981.6423381952,981.6423381952,0,7.0890535755,green,151,151,905892,775583,4468,875,7,{R51_AllEnviroDigital}_Schd1_W2000,
grouping,Adults 15-34 (16),All Adults (1),3,3645.0741748481,3645.0741748481,0,22.2528604751,1124.5836963347,1124.5836963347,0,3.241265356,green,142,142,249722,87610,5027,1070,11,{R51_AllEnviroDigital}_Schd1_W2000,
grouping,Adults 15-34 (16),All Adults (1),3,6689.163599422,6689.163599422,0,40.8367613751,1063.3288930983,1063.3288930983,0,6.2907757354,green,248,248,601836,201159,3816,809,12,{R51_AllEnviroDigital}_Schd1_W2000,
total,Adults 15-34 (16),All Adults (1),3,6062.7915812779,4216.4592166323,1846.3323646456,37.0128147401,2852.9635521746,2186.0182253294,856.0438530685,2.1250855366,green,487,487,1118701,611617,5912,4018,,{R51_AllEnviroDigital}_Schd1_W500,
grouping,Adults 15-34 (16),All Adults (1),3,2891.0802154141,1161.005225676,1730.0749897381,17.649793,1940.5556843694,927.6693674855,1160.6795781815,1.4898207965,green,302,302,532475,185138,5912,3827,1,{R51_AllEnviroDigital}_Schd1_W500,
grouping,Adults 15-34 (16),All Adults (1),3,64.618790937,22.2047863681,42.4140045689,0.3944920926,40.0313206243,20.4034783061,21.2213859328,1.6142058251,green,22,22,36348,20599,4490,103,18,{R51_AllEnviroDigital}_Schd1_W500,
grouping,Adults 15-34 (16),All Adults (1),3,241.1120562232,241.1120562232,0,1.4719681106,131.8729996591,131.8729996591,0,1.8283656006,green,4,4,75137,72531,1151,197,19,{R51_AllEnviroDigital}_Schd1_W500,
grouping,Adults 15-34 (16),All Adults (1),3,217.5018235419,143.6584532032,73.8433703387,1.3278296957,63.1415420671,43.8380358453,24.5497839052,3.4446707575,green,32,32,110777,80149,5042,119,20,{R51_AllEnviroDigital}_Schd1_W500,
grouping,Adults 15-34 (16),All Adults (1),3,1645.2356106163,1645.2356106163,0,10.0440201586,408.9568831243,408.9568831243,0,4.0230050612,green,42,42,229591,201263,3134,580,7,{R51_AllEnviroDigital}_Schd1_W500,
grouping,Adults 15-34 (16),All Adults (1),3,269.6972270865,269.6972270865,0,1.6464780899,246.8955079882,246.8955079882,0,1.092353722,green,31,31,29110,13458,3308,773,11,{R51_AllEnviroDigital}_Schd1_W500,
grouping,Adults 15-34 (16),All Adults (1),3,733.5458574589,733.5458574589,0,4.4782335928,386.9870162029,386.9870162029,0,1.8955309267,green,54,54,105263,38479,2778,748,12,{R51_AllEnviroDigital}_Schd1_W500,
total,Adults 15-34 (16),All Adults (1),3,72752.3410614628,53743.7748182202,19008.5662432426,444.1467079176,9145.5720437825,7782.770135534,3596.4635689668,7.9549251499,green,4824,4824,10808457,5429187,5912,5261,,{R51_AllEnviroDigital}_Schd1_W5000,
