mode_of_transport,day,time,impacts,illumination_effect,campaign_name,frame,quarter_of_hour
2,1,3,1.8399933289,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 06:30:00
2,1,5,4.7013781044,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 07:00:00
2,1,6,3.8063379928,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 07:15:00
2,1,7,7.2089254783,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 07:30:00
2,1,8,15.7451290575,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 07:45:00
2,1,9,48.8537860951,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 08:00:00
2,1,10,43.3056277434,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 08:15:00
2,1,11,3.1189620496,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 08:30:00
2,1,12,2.0308721475,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 08:45:00
2,1,13,49.3796143084,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 09:00:00
2,1,14,20.6672127753,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 09:15:00
2,1,15,0.0515409173,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 09:30:00
2,1,16,17.8360423818,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 09:45:00
2,1,17,0.2743319305,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 10:00:00
2,1,20,0.0003863206,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 10:45:00
2,1,23,5.6886513023,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 11:30:00
2,1,24,0.5777372768,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 11:45:00
2,1,25,0.1504701272,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 12:00:00
2,1,26,0.0000087712,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 12:15:00
2,1,27,0.1752369806,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 12:30:00
2,1,28,0.005756294,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 12:45:00
2,1,29,2.0930311004,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 13:00:00
2,1,30,0.0397055526,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 13:15:00
2,1,31,2.7646544349,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 13:30:00
2,1,32,12.0989678527,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 13:45:00
2,1,33,0.8130053318,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 14:00:00
2,1,34,9.7010339946,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 14:15:00
2,1,35,22.3857857862,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 14:30:00
2,1,36,0.3152135327,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 14:45:00
2,1,37,15.6578704843,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 15:00:00
2,1,38,0.0039347893,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 15:15:00
2,1,41,2.458270162,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 16:00:00
2,1,42,8.7904866785,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 16:15:00
2,1,43,1.3170395567,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 16:30:00
2,1,44,3.1855089635,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 16:45:00
2,1,45,11.9731823227,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 17:00:00
2,1,46,10.6109597722,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 17:15:00
2,1,47,0.0066824416,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 17:30:00
2,1,48,16.2898590365,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 17:45:00
2,1,49,51.8559226107,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 18:00:00
2,1,50,53.8477516521,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 18:15:00
2,1,51,8.527235649,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 18:30:00
2,1,52,26.0267998912,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 18:45:00
2,1,53,25.2102640007,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 19:00:00
